bpmn,id,url,title,licenses,error
UC_BPMN_LEU_BD1_green_roofs.drawio,0f981a2d-1711-4c7e-bf18-17d7ca36d3fe,https://usage.geocat.live/catalogue/srv/eng/catalog.search#/metadata/0f981a2d-1711-4c7e-bf18-17d7ca36d3fe,Potential extensive green roof locations,otherRestictions,
UC_BPMN_LEU_BD1_green_roofs.drawio,7C823055-7BBF-4D62-B55E-F85C30D53162,https://usage.geocat.live/catalogue/srv/eng/catalog.search#/metadata/7C823055-7BBF-4D62-B55E-F85C30D53162,GRBgis,"De gegevens zijn beschermd door het auteursrecht. Indien u een ander type van gebruik wil maken van de gegevens, dan de hier vermelde, dient u zich te wenden tot de eigenaar van de gegevens.
Bronvermeldingsvoorschrift: “Bron: Grootschalig Referentie Bestand Vlaanderen, Digitaal Vlaanderen”.
http://inspire.ec.europa.eu/metadata-codelist/LimitationsOnPublicAccess/noLimitations
https://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0
http://data.vlaanderen.be/id/licentie/Gebruik-van-geografische-gegevens-voor-publieke-taken-door-deelnemers-GDI-Vlaanderen/v1.0
http://data.vlaanderen.be/id/licentie/Gebruik-van-geografische-gegevens-voor-publieke-taken-door-instanties-niet-deelnemers-GDI-Vlaanderen/v1.0
https://codex.vlaanderen.be/Zoeken/Document.aspx?DID=1026111&param=inhoud&AID=1202131",
UC_BPMN_LEU_BD1_green_roofs.drawio,b5835e44-e554-496b-b930-da4fca628a45,https://geonetwork.sdi.sadl.kuleuven.be/geonetwork/srv/eng/catalog.search#/metadata/b5835e44-e554-496b-b930-da4fca628a45,"Building stock, Leuven",,
UC_BPMN_LEU_BD1_green_roofs.drawio,e7f5bfeb-3ece-41d3-9f8b-abed59af7b87,https://usage.geocat.live/catalogue/srv/eng/catalog.search#/metadata/e7f5bfeb-3ece-41d3-9f8b-abed59af7b87,,,OperationNotAllowedEx : Operation not allowed
UC_BPMN_LEU_BD1_green_roofs.drawio,e33b2d0a-5241-416d-af89-9103f6f5814f,https://usage.geocat.live/catalogue/srv/eng/catalog.search#/metadata/e33b2d0a-5241-416d-af89-9103f6f5814f,"Roof slopes, Leuven",otherRestictions,
UC_BPMN_LEU_BD1_green_roofs.drawio,c4548cee-2ede-4065-946e-f1ad4dfd8f1b,https://usage.geocat.live/catalogue/srv/eng/catalog.search#/metadata/c4548cee-2ede-4065-946e-f1ad4dfd8f1b,"Air temperature raster, Leuven",otherRestictions,
UC_BPMN_LEU_BD1_green_roofs.drawio,200b7e3e-4e79-4300-ab9d-e63ebea05974,https://usage.geocat.live/catalogue/srv/eng/catalog.search#/metadata/200b7e3e-4e79-4300-ab9d-e63ebea05974,Surface material dataset,otherRestictions,
UC_BPMN_LEU_BD1_green_roofs.drawio,436a943d-c3ea-4bad-a057-ef0ff4dcd66c,https://usage.geocat.live/catalogue/srv/eng/catalog.search#/metadata/436a943d-c3ea-4bad-a057-ef0ff4dcd66c,Normalized Difference Vegetation Index (NDVI) Leuven,otherRestictions,
UC_BPMN_LEU_BD1_green_roofs.drawio,3f97049c-19da-4cdd-b949-a86cda48e615,https://usage.geocat.live/catalogue/srv/eng/catalog.search#/metadata/3f97049c-19da-4cdd-b949-a86cda48e615,"Roof surface materials, Leuven",otherRestictions,
UC_BPMN_LEU_BD1_green_roofs.drawio,0da2e5e4-6886-426b-bb82-c0ffe6faeff6,https://geonetwork.sdi.sadl.kuleuven.be/geonetwork/srv/eng/catalog.search#/metadata/0da2e5e4-6886-426b-bb82-c0ffe6faeff6,"Digitaal Hoogtemodel Vlaanderen II, DSM, raster, 1 m","De gegevens zijn beschermd door het auteursrecht. Indien u een ander type van gebruik wil maken van de gegevens, dan de hier vermelde, dient u zich te wenden tot de eigenaar van de gegevens.
http://inspire.ec.europa.eu/metadata-codelist/LimitationsOnPublicAccess/noLimitations
https://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0
http://data.vlaanderen.be/id/licentie/Gebruik-van-geografische-gegevens-voor-publieke-taken-door-deelnemers-GDI-Vlaanderen/v1.0
http://data.vlaanderen.be/id/licentie/Gebruik-van-geografische-gegevens-voor-publieke-taken-door-instanties-niet-deelnemers-GDI-Vlaanderen/v1.0
https://www.vlaanderen.be/digitaal-vlaanderen/onze-oplossingen/open-data/voorwaarden-voor-het-hergebruik-van-overheidsinformatie#bronvermelding-voor-datasets-van-digitaal-vlaanderen",
